,,Well,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
TQNGfree,1020,450,1785,1771,2222,2082,1872,2214,1940,1876,1894,1875,1739,1992,2304,1847,1795,1836,1856,1797
TQNGfree,1020,451,2177,2179,2729,2538,2288,2686,2375,2287,2308,2318,2117,2444,2834,2280,2213,2238,2256,2219
TQNGfree,1020,452,2666,2668,3349,3103,2786,3301,2908,2817,2817,2842,2592,2978,3488,2796,2710,2752,2779,2705
TQNGfree,1020,453,3359,3350,4200,3921,3490,4129,3653,3530,3542,3554,3244,3710,4328,3472,3380,3431,3495,3402
TQNGfree,1020,454,4073,4064,5105,4770,4252,5019,4459,4311,4305,4345,3958,4513,5287,4274,4130,4168,4237,4115
TQNGfree,1020,455,4904,4949,6146,5758,5129,6038,5394,5180,5196,5234,4768,5459,6373,5110,4979,5013,5092,4950
TQNGfree,1020,456,5914,5938,7371,6895,6177,7245,6487,6256,6259,6328,5739,6586,7677,6106,5998,6048,6137,5921
TQNGfree,1020,457,7042,7126,8846,8228,7327,8631,7763,7484,7532,7575,6866,7846,9154,7330,7157,7224,7330,7074
TQNGfree,1020,458,8411,8522,10571,9824,8774,10321,9280,8993,9027,9071,8225,9424,10971,8799,8595,8680,8764,8479
TQNGfree,1020,459,9857,9955,12385,11512,10256,12039,10893,10502,10578,10621,9667,11027,12852,10246,10044,10158,10219,9935
TQNGfree,1020,460,11441,11558,14383,13338,11889,13919,12649,12243,12295,12377,11232,12816,14926,11980,11702,11793,11902,11538
TQNGfree,1020,461,13150,13289,16433,15246,13622,16009,14511,14050,14114,14241,12934,14769,17141,13721,13378,13518,13661,13234
TQNGfree,1020,462,15180,15454,19098,17642,15782,18468,16854,16327,16456,16549,15014,17211,19869,15941,15559,15668,15857,15341
TQNGfree,1020,463,17105,17343,21518,19817,17779,20759,18971,18468,18518,18618,16922,19276,22390,17965,17618,17692,17951,17322
TQNGfree,1020,464,18968,19295,23813,21929,19656,23029,21132,20496,20637,20785,18884,21474,24914,19973,19520,19691,19941,19298
TQNGfree,1020,465,21227,21595,26649,24527,22007,25727,23552,22987,23210,23306,21181,24184,27980,22442,21878,22146,22407,21599
TQNGfree,1020,466,22964,23579,28953,26731,23860,27761,25639,25088,25255,25326,23020,26335,30397,24397,23769,24080,24376,23611
TQNGfree,1020,467,24607,25180,31140,28646,25637,29803,27568,26828,27173,27371,24876,28373,32811,26256,25585,25884,26166,25359
TQNGfree,1020,468,26332,26894,33179,30432,27206,31735,29460,28700,29058,29299,26537,30403,34920,27955,27362,27702,28047,27072
TQNGfree,1020,469,27872,28634,35326,32430,29065,33817,31316,30780,31015,31238,28448,32424,37250,29814,29185,29601,29956,29039
TQNGfree,1020,470,29112,29978,36926,33851,30279,35312,32908,32248,32546,32792,29845,34048,39011,31288,30635,31003,31471,30406
TQNGfree,1020,471,29727,30697,37740,34564,31075,36065,33715,33001,33382,33655,30562,35012,40031,32074,31367,31679,32209,31167
TQNGfree,1020,472,30701,31710,39025,35711,32093,37340,34803,34093,34423,34793,31609,36190,41130,33065,32418,32744,33233,32134
TQNGfree,1020,473,31100,32104,39485,36182,32482,37706,35329,34729,35162,35488,32247,36882,42064,33704,33112,33503,34000,32888
TQNGfree,1020,474,31177,32250,39652,36205,32539,37766,35553,34893,35275,35671,32412,37076,42231,33984,33265,33661,34175,33083
TQNGfree,1020,475,31465,32633,40025,36696,32917,38160,35937,35356,35733,35955,32773,37599,42728,34224,33694,34149,34668,33415
TQNGfree,1020,476,30924,32142,39484,36002,32503,37565,35362,34733,35397,35540,32442,37037,42193,33914,33208,33667,34159,33065
TQNGfree,1020,477,30621,31901,39032,35802,32177,37293,35145,34581,35090,35307,32187,36838,41830,33592,32937,33459,33865,32749
TQNGfree,1020,478,30113,31195,38272,34940,31513,36402,34438,33733,34323,34570,31580,36160,41019,32855,32376,32801,33265,32265
TQNGfree,1020,479,29508,30668,37688,34310,30940,35670,33911,33334,33849,34073,31075,35565,40420,32465,31798,32321,32758,31721
TQNGfree,1020,480,28713,29904,36697,33374,30010,34679,33033,32477,32951,33222,30225,34639,39270,31619,31028,31561,31915,30917
TQNGfree,1020,481,28142,29304,35894,32709,29353,33975,32312,31838,32255,32371,29625,33925,38481,30920,30427,30902,31350,30327
TQNGfree,1020,482,27439,28544,34933,31898,28690,33243,31430,31018,31474,31623,28907,33075,37474,30161,29678,30104,30439,29589
TQNGfree,1020,483,26466,27591,33799,30776,27716,32052,30409,29991,30501,30604,27931,31910,36160,29153,28640,29020,29477,28571
TQNGfree,1020,484,26122,27126,33258,30309,27327,31579,29923,29474,29939,30160,27513,31491,35663,28694,28166,28577,28987,28072
TQNGfree,1020,485,25481,26485,32392,29533,26605,30739,29120,28730,29114,29389,26773,30586,34638,27978,27423,27841,28192,27366
TQNGfree,1020,486,25190,26190,31995,29183,26297,30488,28827,28360,28765,29003,26482,30250,34199,27603,27052,27446,27841,27061
TQNGfree,1020,487,24784,25670,31435,28694,25794,29924,28287,27801,28187,28473,25905,29695,33518,27143,26598,26917,27289,26531
TQNGfree,1020,488,24372,25107,30729,28163,25416,29381,27719,27303,27630,27862,25432,29090,32874,26575,26014,26396,26767,26034
TQNGfree,1020,489,24219,25064,30586,28049,25247,29287,27571,27020,27426,27654,25253,28897,32531,26308,25814,26237,26511,25796
TQNGfree,1020,490,24015,24892,30362,27856,25116,29075,27307,26911,27180,27472,25105,28706,32340,26230,25732,26084,26396,25694
TQNGfree,1020,491,23783,24549,30056,27494,24830,28677,26946,26509,26893,27060,24655,28237,31847,25907,25375,25745,26172,25351
TQNGfree,1020,492,23938,24793,30214,27727,24975,28953,27207,26652,27021,27224,24854,28360,32029,26004,25531,25903,26255,25417
TQNGfree,1020,493,23861,24620,30070,27581,24879,28855,26995,26503,26879,27014,24773,28217,31736,25786,25412,25693,26080,25237
TQNGfree,1020,494,24081,24887,30261,27864,25139,29040,27231,26782,27079,27171,24953,28497,31887,26059,25545,25901,26224,25372
