idr,sol,conc,unit,chi,mw (g/mol),mol/kg,monomol/kg
GS0,Ficoll,0,wt %,-0.010669466,70000,0,0
GS0,Ficoll,4,wt %,-0.020290984,70000,0.000595238,0.121832359
GS0,Ficoll,8,wt %,-0.036602337,70000,0.001242236,0.254258835
GS0,Ficoll,12,wt %,-0.040796229,70000,0.001948052,0.398724083
GS0,Ficoll,16,wt %,-0.043789662,70000,0.002721088,0.556947925
GS0,Ficoll,20,wt %,-0.054032439,70000,0.003571429,0.730994152
GS0,Ficoll,24,wt %,-0.078719647,70000,0.004511278,0.923361034
GS0,D-Sorbitol,0,wt %,-0.010669466,182.17,0,0
GS0,D-Sorbitol,4,wt %,-0.010776345,182.17,0.228724086,0.228724086
GS0,D-Sorbitol,8,wt %,-0.007780678,182.17,0.477337222,0.477337222
GS0,D-Sorbitol,12,wt %,-0.003034284,182.17,0.748551553,0.748551553
GS0,D-Sorbitol,16,wt %,-0.00297222,182.17,1.04559582,1.04559582
GS0,D-Sorbitol,20,wt %,-0.007024423,182.17,1.372344513,1.372344513
GS0,D-Sorbitol,24,wt %,-0.006662055,182.17,1.733487806,1.733487806
GS0,Glycerol,0,wt %,-0.010669466,92,0,0
GS0,Glycerol,4,wt %,-0.008481097,92,0.452898551,0.452898551
GS0,Glycerol,8,wt %,-0.004855845,92,0.945179584,0.945179584
GS0,Glycerol,12,wt %,0.00694949,92,1.482213439,1.482213439
GS0,Glycerol,16,wt %,0.012128723,92,2.070393375,2.070393375
GS0,Glycerol,20,wt %,0.015344853,92,2.717391304,2.717391304
GS0,Glycerol,24,wt %,0.020827117,92,3.432494279,3.432494279
GS0,PEG200,0,wt %,-0.010669466,200,0,0
GS0,PEG200,4,wt %,-0.013683804,200,0.208333333,0.946969697
GS0,PEG200,8,wt %,8.95E-05,200,0.434782609,1.976284585
GS0,PEG200,12,wt %,0.001510657,200,0.681818182,3.099173554
GS0,PEG200,16,wt %,0.009134328,200,0.952380952,4.329004329
