protein_name,N,repeat,solute,conc,conc_unit,E_f,E_f_GS,chi
GS0,0,1,Buffer (standard),0,N/A,0.588634411,0.565210685,-0.015870382
GS0,0,1,Buffer (standard),0,N/A,0.584352755,0.565210685,-0.012970306
GS0,0,1,Buffer (standard),0,N/A,0.584213552,0.565210685,-0.012876024
GS0,0,1,Buffer (standard),0,N/A,0.587460185,0.565210685,-0.015075013
GS0,0,1,Buffer (standard),0,N/A,0.58252956,0.565210685,-0.011735466
GS0,0,1,Buffer (standard),0,N/A,0.585021472,0.565210685,-0.013423227
GS0,0,1,Ficoll,0,wt %,N/A,N/A,-0.013658403
GS0,0,1,Ficoll,4,wt %,0.600246242,0.565210685,-0.023739389
GS0,0,1,Ficoll,8,wt %,0.631311803,0.565210685,-0.044880297
GS0,0,1,Ficoll,12,wt %,0.646413088,0.565210685,-0.055244149
GS0,0,1,Ficoll,16,wt %,0.663780563,0.565210685,-0.067272107
GS0,0,1,Ficoll,20,wt %,0.693201275,0.565210685,-0.088015166
GS0,0,1,Ficoll,24,wt %,0.715727381,0.565210685,-0.104319437
GS0,0,1,D-Sorbitol,0,wt %,N/A,N/A,-0.013658403
GS0,0,1,D-Sorbitol,4,wt %,0.575518647,0.565210685,-0.006986576
GS0,0,1,D-Sorbitol,8,wt %,0.569988713,0.565210685,-0.00323943
GS0,0,1,D-Sorbitol,12,wt %,0.562523098,0.565210685,0.001823107
GS0,0,1,D-Sorbitol,16,wt %,0.558728739,0.565210685,0.004398423
GS0,0,1,D-Sorbitol,20,wt %,0.562079375,0.565210685,0.002124181
GS0,0,1,D-Sorbitol,24,wt %,0.560896836,0.565210685,0.002926668
GS0,0,1,Glycerol,0,wt %,N/A,N/A,-0.013658403
GS0,0,1,Glycerol,4,wt %,0.575384785,0.565210685,-0.006895889
GS0,0,1,Glycerol,8,wt %,0.568855473,0.565210685,-0.002471285
GS0,0,1,Glycerol,12,wt %,0.552119035,0.565210685,0.008889412
GS0,0,1,Glycerol,16,wt %,0.543327754,0.565210685,0.014874573
GS0,0,1,Glycerol,20,wt %,0.537951556,0.565210685,0.018542857
GS0,0,1,Glycerol,24,wt %,0.528926453,0.565210685,0.024717504
GS0,0,1,PEG200,0,wt %,N/A,N/A,-0.013658403
GS0,0,1,PEG200,4,wt %,0.580500406,0.565210685,-0.010361112
GS0,0,1,PEG200,8,wt %,0.55875135,0.565210685,0.004383071
GS0,0,1,PEG200,12,wt %,0.554791122,0.565210685,0.007073038
GS0,0,1,PEG200,16,wt %,0.540420301,0.565210685,0.016857541
GS0,0,1,PEG200,20,wt %,0.538265026,0.565210685,0.018328781
GS0,0,1,PEG200,24,wt %,0.533724277,0.565210685,0.021432231
GS0,0,1,PEG1500,0,wt %,N/A,N/A,-0.013658403
GS0,0,1,PEG1500,4,wt %,0.591276334,0.565210685,-0.017660069
GS0,0,1,PEG1500,8,wt %,0.591702913,0.565210685,-0.017949067
GS0,0,1,PEG1500,12,wt %,0.59263813,0.565210685,-0.018582688
GS0,0,1,PEG1500,16,wt %,0.596751038,0.565210685,-0.02136984
GS0,0,1,PEG1500,20,wt %,0.602560302,0.565210685,-0.025308816
GS0,0,1,PEG1500,24,wt %,0.613374263,0.565210685,-0.032651895
GS0,0,1,PEG4000,0,wt %,N/A,N/A,-0.013658403
GS0,0,1,PEG4000,4,wt %,0.600912604,0.565210685,-0.024191268
GS0,0,1,PEG4000,8,wt %,0.60705836,0.565210685,-0.028361194
GS0,0,1,PEG4000,12,wt %,0.610354128,0.565210685,-0.030599404
GS0,0,1,PEG4000,16,wt %,0.658557007,0.565210685,-0.063640283
